artículo,sujeto,adjetivo masculino,adjetivo femenino,acciones
El,vampiro,acomplejado,acomplejada,contextualiza algo
El,varano,castellanizado,castellanizada,aporta un significado al mundo
El,vaso,debilitado,debilitado,encuentra el significado del universo
El,velero,diferenciado,diferenciada,se encuentra con un ente creador
El,venado,sepulcral,sepulcral,agita unas maracas
El,vendaje,terraplanista,terraplanista,consigue un don
La,ventana,homeostático,homeostática,aplana el universo
La,verdad,onomatopéyico,onomatopéyica,conquista el espacio
La,verdulería,gritón,gritona,se enamora de un objeto
El,vestuario,sustancioso,sustanciosa,se desposa con un objeto
La,vía,lácteo,láctea,asesina accidentalmente a alguien
El,viajero,cósmico,cósmica,secunda una censura
La,víbora,bíblico,bíblica,se atraganta
La,vida,apestoso,apestosa,descuida su aspecto
El,vidrio,despojado,despojada,hiere a un amigo
El,viejo,rubicundo,rubicunda,hiere a un enemigo
El,viento,encuestado,encuestada,cosifica a alguien
La,vinagrera,tórrido,tórrida,se siente atraido sexualmente
La,virtud,mentiroso,mentirosa,es sexualizado
La,visita,estúpido,estúpida,pronuncia un discuros
La,vitalidad,escrupuloso,escrupulosa,extravía el objeto que lo iba a salvar
El,vituperio,contundente,contundente,muere
El,vodka,cobrizo,cobriza,muere de forma estúpida
El,volcán,escandaloso,escandalosa,fallece premeditadamente
El,vuelo,lozano,lozana,se suicida para evitar a su enemigo
El,whisky,pechugón,pechugona,estudia
El,wombat,níveo,nívea,convence a un aristócrata
El,wyvern,blanco,blanca,se depila
El,xilófono,esculpido,esculpida,depila a alguien
El,yate,negro,negra,escribe un diario
La,yegua,racista,racista,roba un objeto
El,yogur,robótico,robótica,se esconde con cobardía
El,yunque,inteligente,inteligente,se detiene en el camino
La,zanahoria,artificial,artificial,detiene a alguien
El,zapato,artificioso,artificiosa,es detenido inoportunamente
La,zarzamora,adecuado,adecuada,casca nueces
La,zarzuela,cómico,cómica,rompe un objeto sagrado
La,cebra,tramado,tramada,es excomulgado
El,zorro,tramposo,tramposa,es cómplice de un asesinato
El,zueco,lúcido,lúcida,ayuda a su enemigo
